store_key,storename,address,telno,region_name,provice_name,city_muni_name,latitude,longitude
"60","CAINTA JUNCTION","A. Bonifacio St. cor Ortigas Ave. Extn. Cainta,Rizal","(02) 6567253","REGION IV-A (CALABARZON)","RIZAL","TAYTAY","14.5861521","121.1154422"
"64","MASINAG","Marcos Highway cor. Sumulong Highway","(02) 2645491","REGION IV-A (CALABARZON)","RIZAL","CITY OF ANTIPOLO (Capital)","14.6257016","121.1246342"
"65","ROAD 8","Road 8 cor. Visayas Ave. Project 6, Quezon City","","NATIONAL CAPITAL REGION (NCR)","NCR, SECOND DISTRICT","QUEZON CITY","14.6627774","121.0437486"
"66","MH DEL PILAR","A. Flores St. cor. M. H. Del Pilar., Ermita, Manila","","NATIONAL CAPITAL REGION (NCR)","CITY OF MANILA","ERMITA","14.5788816","120.9794325"
"67","ST. JAMES","T. Sora Ave. cor. Mindanao Ave., Novaliches, Quezon City","","NATIONAL CAPITAL REGION (NCR)","NCR, SECOND DISTRICT","QUEZON CITY","14.6771301","121.032426"
"68","MURPHY","15th Ave. cor. Liberty Ave., Murphy,  Quezon City","(63) 09983651897","NATIONAL CAPITAL REGION (NCR)","NCR, SECOND DISTRICT","QUEZON CITY","14.6150032","121.0617523"
"69","PCU 1","Pedro Gil St. cor. L. Guinto St., Malate, Manila","","NATIONAL CAPITAL REGION (NCR)","CITY OF MANILA","PACO","14.5764098","120.9892955"
"71","A BONIFACIO","A. Bonifacio Drive, cor. Shaw Blvd., Mandaluyong City","","NATIONAL CAPITAL REGION (NCR)","NCR, SECOND DISTRICT","CITY OF MANDALUYONG","14.5896554","121.0349118"
"72","CALAMBA","National Highway cor J.P. Rizal St Calamba Laguna","(049) 5455694","REGION IV-A (CALABARZON)","LAGUNA","CITY OF CALAMBA","14.2055985","121.155819"
"74","CANAYNAY","Sucat Road cor Canaynay Avenue Parañaque City","","NATIONAL CAPITAL REGION (NCR)","NCR, FOURTH DISTRICT","CITY OF PARANAQUE","14.4749673","121.0011243"
"75","ANTIPOLO CHURCH","Cor P. Oliveros & Masangkay Street Antipolo City","(02) 6508997","REGION IV-A (CALABARZON)","RIZAL","CITY OF ANTIPOLO (Capital)","14.5878734","121.1752313"
"76","PASIG ROTONDA","Pasig Blvd corner Dr. S. Antonio St Pasig City","(02) 6410593","NATIONAL CAPITAL REGION (NCR)","NCR, SECOND DISTRICT","CITY OF PASIG","14.5662023","121.0760561"
"78","BRUGER","National Rd. cor. Bruger  Subd., Muntinlupa City","","NATIONAL CAPITAL REGION (NCR)","NCR, FOURTH DISTRICT","CITY OF MUNTINLUPA","14.3946374","121.0449754"
"80","MARCELO","West Service Rd. cor. Marcelo Ave., Parañaque","","NATIONAL CAPITAL REGION (NCR)","NCR, FOURTH DISTRICT","CITY OF PARANAQUE","14.4758498","121.0449112"
"85","FB HARRISON","F.B. Harrison St., cor. Vito Cruz  Malate, Manila","","NATIONAL CAPITAL REGION (NCR)","CITY OF MANILA","MALATE","14.5599963","120.9896391"
"86","TAYUMAN","Rizal Ave. Cor. Tayuman St., Sta. Cruz, Manila","","NATIONAL CAPITAL REGION (NCR)","CITY OF MANILA","SANTA CRUZ","14.6167515","120.9829436"
"87","IMUS","A Hi way cor Tanza Luma Imus Cavite","(046) 5022550","REGION IV-A (CALABARZON)","CAVITE","CITY OF IMUS","14.4231542","120.9423133"
"88","ANTIPOLO JUNCTION","Circumferential Rd. cor, M. L. Quezon St., Antipolo City, Rizal","","REGION IV-A (CALABARZON)","RIZAL","CITY OF ANTIPOLO (Capital)","14.5809967","121.176028"
"90","BANGKAL","Evangelista St. cor. Gen. Alejandrino St., Bangkal, Makati City","","NATIONAL CAPITAL REGION (NCR)","NCR, FOURTH DISTRICT","CITY OF MAKATI","14.5395777","121.0123701"
"91","SAN PEDRO 1","Maharlika St. cor. National Highway, San Antonio City, San Pedro,Laguna","","REGION IV-A (CALABARZON)","LAGUNA","CITY OF SAN PEDRO","14.3667043","121.0514413"
"93","MEYCAUAYAN 2","Malhacan St cor Mc Arthur Highway Meycauayan Bulacan","(044) 9352982","REGION III (CENTRAL LUZON)","BULACAN","CITY OF MEYCAUAYAN","14.7371798","120.9610485"
"96","SAN PEDRO 2","A. Mabini St. cor. G. Garcia St., San Pedro, Laguna","(02) 8688296","REGION IV-A (CALABARZON)","LAGUNA","CITY OF SAN PEDRO","14.3628705","121.0574849"
"97","CAVITE CITY","Cajigas St. cor. Burgos St.,","","REGION IV-A (CALABARZON)","CAVITE","CITY OF CAVITE","14.4796243","120.8979337"
"98","YLAYA","Ylaya St. cor. Lakandula St., Tondo, Manila","","NATIONAL CAPITAL REGION (NCR)","CITY OF MANILA","TONDO I/II","14.6072106","120.9671651"
"99","DASMARINAS 1","P. Campos St. cor. Cantimbuhan St., Dasmariñas, Cavite","(049) 5342905","REGION IV-A (CALABARZON)","CAVITE","CITY OF DASMARINAS","14.3266587","120.9359728"
"100","BALIBAGO","National Hi-way cor Roque Lasaga St. Balibago Sta","(049) 5342905","REGION IV-A (CALABARZON)","LAGUNA","CITY OF SANTA ROSA","14.2959031","121.1057069"
"101","BLUMENTRITT 2","Blumentritt St. cor. Isagani St., Sta. Cruz, Manila","","NATIONAL CAPITAL REGION (NCR)","CITY OF MANILA","SANTA CRUZ","14.6250173","120.9872713"
"102","HERMOSA","J. Abad Santos Ave. cor. Hermosa St., Tondo, Manila","","NATIONAL CAPITAL REGION (NCR)","CITY OF MANILA","TONDO I/II","14.6319182","120.9802964"
"103","KABIHASNAN","Quirino Ave. Kabihasnan San Dionisio Parañaque City","","NATIONAL CAPITAL REGION (NCR)","NCR, FOURTH DISTRICT","CITY OF PARANAQUE","14.4922504","120.9879589"
"104","GALAS","Unang Hakbang cor Luzon Ave. Galas Quezon City","","NATIONAL CAPITAL REGION (NCR)","NCR, SECOND DISTRICT","QUEZON CITY","14.612291","121.008615"
"105","Lower Bicutan","ML Quezon cor Gen Santos Ave. Lower Bicutan Taguig","","NATIONAL CAPITAL REGION (NCR)","NCR, FOURTH DISTRICT","CITY OF TAGUIG","14.4887309","121.0607869"
"106","TAMARAW HILLS","Mc Arthur Highway cor. Tamaraw Hills, Marulas, Valenzuela City","(63) 09989652056","NATIONAL CAPITAL REGION (NCR)","NCR, THIRD DISTRICT","CITY OF VALENZUELA","14.6786819","120.980033"
"107","CABUYAO","J.P. Rizal St. cor. Circumferential Ave., Cabuyao, Laguna","(049) 8320117","REGION IV-A (CALABARZON)","LAGUNA","CITY OF CABUYAO","14.2772473","121.1233916"
"108","CHICO","Chico St. cor. Anonas Rd., Quezon City","(02) 9289702","NATIONAL CAPITAL REGION (NCR)","NCR, SECOND DISTRICT","QUEZON CITY","14.6324905","121.0598979"
"111","MOLINO 1","Molino Rd. cor. J.P. Rizal, Bacoor, Cavite","(046) 4773083","REGION IV-A (CALABARZON)","CAVITE","CITY OF BACOOR","14.3981452","120.977669"
"112","SAN PABLO","Rizal Ave. cor. A. Flores St., San Pablo City, Laguna","","REGION V (BICOL REGION)","ALBAY","BACACAY","14.0694385","121.3258241"
"114","DASMARINAS 2","A Hi way cor Mangubat Dasmarinas Cavite","(046) 8502667","REGION IV-A (CALABARZON)","CAVITE","CITY OF DASMARINAS","14.3266416","120.9401867"
"115","MOLINO 2","Addas, Molino Road, Bacoor, Cavite","(046) 5723810","REGION IV-A (CALABARZON)","CAVITE","CITY OF BACOOR","14.4262391","120.9750978"
"116","SALINAS","General Trias Drive, Salinas, Rosario , Cavite","(046) 4380651","REGION IV-A (CALABARZON)","CAVITE","ROSARIO","14.4155357","120.855611"
"118","GMA","Governors Drive Brgy Maderan GMA Cavite","(046) 9724663","REGION IV-A (CALABARZON)","CAVITE","GEN. MARIANO ALVAREZ","14.2837559","120.9991524"
"119","BINAN 2","Malvar Rd. cor. National Rd. Biñan, Laguna","","REGION IV-A (CALABARZON)","LAGUNA","CITY OF SAN PEDRO","14.3331597","121.0818856"
"120","BALAGTAS","Mc Arthur Highway,Wawa Balagtas, Bulacan","","REGION III (CENTRAL LUZON)","BULACAN","BALAGTAS (BIGAA)","14.8182708","120.9057541"
"121","PULANG LUPA","Quirino Rd cor Qurino Pulang Lupa Las Pinas Ctiy","","NATIONAL CAPITAL REGION (NCR)","NCR, FOURTH DISTRICT","CITY OF LAS PINAS","14.4731704","120.9766302"
"122","BF RESORT","Real St Zapote Junction Las Pinas City","","NATIONAL CAPITAL REGION (NCR)","NCR, FOURTH DISTRICT","CITY OF LAS PINAS","14.4445313","120.9936237"
"123","PARANG","M.L Quezon St. Cor. Del Pilar St., Marikina City,MM","(02) 3992167","NATIONAL CAPITAL REGION (NCR)","NCR, SECOND DISTRICT","CITY OF MARIKINA","14.6598749","121.1130668"
"125","J.P. RAMOY","J.P. Ramoy St. cor. Quirino Highway, Talipapa, Novaliches, Queazon City","","NATIONAL CAPITAL REGION (NCR)","NCR, SECOND DISTRICT","QUEZON CITY","14.6859738","121.0239749"
"126","CAINTA CHRUCH","A. Bonifacio Ave., Cainta, Rizal","","REGION IV-A (CALABARZON)","RIZAL","TAYTAY","14.5770284","121.1168913"
"127","TATLONG HARI","Rizal Blvd., Tatlong Hari, Sta. Rosa, Laguna","(049) 8373711","REGION IV-A (CALABARZON)","LAGUNA","CITY OF SANTA ROSA","14.3149178","121.1122605"
"128","LOS BANOS","Batong Malaki National Highway  Los Banos Laguna","(049) 5360153","REGION IV-A (CALABARZON)","LAGUNA","LOS BANOS","14.1783696","121.2418755"
"130","BINAKAYAN","Tirona Highway cor. Bisita St., Binakayan, Kawit, Cavite","(046) 4342610","REGION IV-A (CALABARZON)","CAVITE","CITY OF IMUS","14.4497908","120.9232508"
"131","LIPA H-WAY","Big Ben Commercial, National Hhighway, Lipa City, Batangas","(043) 9811883","REGION IV-A (CALABARZON)","BATANGAS","CITY OF LIPA","13.9425017","121.1528157"
"134","MOLAVE","Bayan bayanan Ave. cor Molave St. Concepcion Marikina City","","NATIONAL CAPITAL REGION (NCR)","NCR, SECOND DISTRICT","CITY OF MARIKINA","14.6510063","121.1118073"
"135","PANAPAAN","Tirona Highway nr. cor. Aguinaldo Highway, Bacoor, Cavite","(63) 09989684805","REGION IV-A (CALABARZON)","CAVITE","CITY OF BACOOR","14.4455917","120.952454"
"136","APALIT","McArthur Highway cor David St. Apalit Pampanga","","REGION III (CENTRAL LUZON)","PAMPANGA","APALIT","14.9493439","120.7589475"
"137","SAN PEDRO 3","Pacita Ave. nr. Cor. Macaria Ave., San Pedro, Laguna","(02) 8479192","REGION IV-A (CALABARZON)","LAGUNA","CITY OF SAN PEDRO","14.3435446","121.0583908"
"138","LIPA PROPER","C.M. Recto Ave., Lipa City, Batangas","(043) 9810437","REGION IV-A (CALABARZON)","BATANGAS","CITY OF LIPA","13.9414672","121.162965"
"141","CAMARIN","Blk 1 Lot 18-20 Almar Subd Camarin cor Susano Bgry.177 Zone 15 Caloocan City","","NATIONAL CAPITAL REGION (NCR)","NCR, THIRD DISTRICT","CITY OF CALOOCAN","14.7559664","121.0438522"
"142","TANZA","San Agustine St. cor. Sta. Cruz St., Tanza,Cavite","(046) 5052667","REGION IV-A (CALABARZON)","CAVITE","TANZA","14.4002732","120.8572522"
"144","AGLIPAY","Boni Ave.cor A.T. Reyes St. Mandaluyong City","","NATIONAL CAPITAL REGION (NCR)","NCR, SECOND DISTRICT","CITY OF MANDALUYONG","14.5863052","121.0258461"
"145","NAIC","P. Poblete St. cor. Capt. Nazareno, Naic, Cavite","(046) 4120727","REGION IV-A (CALABARZON)","CAVITE","NAIC","14.3195127","120.764311"
"147","SHORTHORN","Shorthorn cor. Road 20, Bahay Toro, Project 8 Quezon City","","NATIONAL CAPITAL REGION (NCR)","NCR, SECOND DISTRICT","QUEZON CITY","14.668454","121.0204764"
"148","J.P. RIZAL","J.P. Rizal Ave., cor. Constancia Olympia, Makati City","(02) 0000000","NATIONAL CAPITAL REGION (NCR)","NCR, FOURTH DISTRICT","CITY OF MAKATI","14.5709965","121.0204369"
"150","ZABARTE","Quirino Hiway cor Zabarte Ave. Kaligayahan Novaliches","","NATIONAL CAPITAL REGION (NCR)","NCR, SECOND DISTRICT","QUEZON CITY","14.7316745","121.0485984"
"152","DASMA 3","Congressional Ave, DBB Dasmariñas Cavite","(+63) 09167117319","REGION IV-A (CALABARZON)","CAVITE","CITY OF DASMARINAS","14.3221503","120.9639035"
"153","PACO 2","P. Gil cor. Main St., Paco, Manila","","NATIONAL CAPITAL REGION (NCR)","CITY OF MANILA","PACO","14.5786356","121.0002628"
"154","INSULAR BURGOS","P. Burgos cor nr Luna Street Makati City","","NATIONAL CAPITAL REGION (NCR)","NCR, FOURTH DISTRICT","CITY OF MAKATI","14.5646347","121.0311642"
"155","SAN ANDRES ONYX","A. Francisco cor. Onyx St.  and Concha St., Sta. Ana, Manila","(02) 5616819","NATIONAL CAPITAL REGION (NCR)","CITY OF MANILA","SANTA ANA","14.5737329","121.0037226"
"156","GUADALUPE 2","Sgt. F. Yabut St. Guadalupe Nuevo, Makati City","","NATIONAL CAPITAL REGION (NCR)","NCR, FOURTH DISTRICT","CITY OF MAKATI","14.5591028","121.0461483"
"158","N DOMINGO","F. Blumentritt St. Cor., N. Domingo San Perfecto, San Juan, MM","(02) 7241027","NATIONAL CAPITAL REGION (NCR)","NCR, SECOND DISTRICT","CITY OF SAN JUAN","14.6046161","121.0225814"
"160","SAN BARTOLOME","P. De La Cruz St., Cor. Quirino H-way, San Bartolome, Novaliches, Q.C","(02) 9391045","NATIONAL CAPITAL REGION (NCR)","NCR, SECOND DISTRICT","QUEZON CITY","14.7010751","121.0347563"
"162","SAN FERNANDO","Canlas Dayrit Bldg.g Mendoza Cor. Tiomico St. San Fernando Pampanga","","REGION III (CENTRAL LUZON)","PAMPANGA","CITY OF SAN FERNANDO (Capital)","15.0290439","120.6926813"
"167","JUPITER","G/F Executive Bldg Center Sen Gil Puyat Ave","(02) 8977445","NATIONAL CAPITAL REGION (NCR)","NCR, FOURTH DISTRICT","CITY OF MAKATI","14.5616478","121.028083"
"168","T.M. KALAW","Kimmee Bldg. TM Kalaw cor Mabini st. Ermita Manila","(02) 4906068","NATIONAL CAPITAL REGION (NCR)","CITY OF MANILA","ERMITA","14.5810084","120.979883"
"172","WEST AVENUE","West ave. cor Zamboanga St.","","NATIONAL CAPITAL REGION (NCR)","NCR, SECOND DISTRICT","QUEZON CITY","14.63841","121.0259364"
"175","MCU 2","Benin st. cor EDSA Monumento Caloocan City","","NATIONAL CAPITAL REGION (NCR)","NCR, THIRD DISTRICT","CITY OF CALOOCAN","14.656927","120.9855895"
"176","FARMERS","Space 1 & 2 2nd Level New Farmers Plaza Brgy. Socorro","","NATIONAL CAPITAL REGION (NCR)","NCR, SECOND DISTRICT","QUEZON CITY","14.6200722","121.0512054"
"180","BATANGAS CITY","P. Burgos St., Cor. Panganiban St. Batangas City","(043) 7230926","REGION IV-A (CALABARZON)","BATANGAS","BATANGAS CITY (Capital)","13.7558834","121.0585688"
"184","DOROTEO JOSE","Rizal Ave. Cor. D. Jose St., Sta. Cruz, Manila","(02) 7416551","NATIONAL CAPITAL REGION (NCR)","CITY OF MANILA","SANTA CRUZ","14.6051433","120.9818948"
"185","GLOBAL PLAZA","Unit 1D & E Airport Global Plaza Seaside cor Coastal Rd. Tambo Paranaque City","(02) 8523733","NATIONAL CAPITAL REGION (NCR)","NCR, FOURTH DISTRICT","CITY OF PARANAQUE","14.5171443","120.9939762"
"187","VIRRA 1","500 Shop 1 GRD Flr Virra 1 Cond P. Burgos","","NATIONAL CAPITAL REGION (NCR)","NCR, FOURTH DISTRICT","CITY OF MAKATI","14.5633895","121.0293847"
"188","PANAY AVENUE","EDSA cor Quezon Ave.","","NATIONAL CAPITAL REGION (NCR)","NCR, SECOND DISTRICT","QUEZON CITY","14.6434156","121.0377017"
"192","TURBINA","National H-way Turbina,","","REGION IV-A (CALABARZON)","LAGUNA","CITY OF CALAMBA","14.1853078","121.136774"
"193","BAUAN","National Road, cor. Buendia St.","((+63)) 09485453954","REGION IV-A (CALABARZON)","BATANGAS","BAUAN","13.7908025","121.0098386"
"194","ANGONO","ML Quezon  San Pedro","","REGION IV-A (CALABARZON)","RIZAL","ANGONO","14.5236594","121.1530342"
"195","RFM","RFM  Corporate Ctr. Pioneer St. Mandaluyong City","(02) 0000000","NATIONAL CAPITAL REGION (NCR)","NCR, SECOND DISTRICT","CITY OF MANDALUYONG","14.5711575","121.0525945"
"196","URDANETA","Mc Arthur Hway","","REGION I (ILOCOS REGION)","PANGASINAN","CITY OF URDANETA","15.9723513","120.5714051"
"198","MATALINO","#140 Malakas Street","","NATIONAL CAPITAL REGION (NCR)","NCR, SECOND DISTRICT","QUEZON CITY","14.6445294","121.0499005"
"199","RIZAL MED","Shaw Blvd. Extn. Cor. Banaag St. Pineda","","NATIONAL CAPITAL REGION (NCR)","NCR, SECOND DISTRICT","CITY OF PASIG","14.5637013","121.0652986"
"200","CARMEN","Mc Arthur Highway, Carmen Rosales Pangasinan","","REGION I (ILOCOS REGION)","PANGASINAN","ROSALES","15.883291","120.5986066"
"204","PRECILLA","Priscilla bldg Pasong Tamo Extesion Magallanes","","NATIONAL CAPITAL REGION (NCR)","NCR, FOURTH DISTRICT","CITY OF MAKATI","14.5346632","121.0220846"
"206","ZAPOTE","Alabang  Zapote Rd cor F. Santos Ave. Las Pinas City","","NATIONAL CAPITAL REGION (NCR)","NCR, FOURTH DISTRICT","CITY OF LAS PINAS","14.4637523","120.9690587"
"208","ANGELES","Sto Rosario cor Flora Ave. Sto Rosario Angeles City","","REGION III (CENTRAL LUZON)","PAMPANGA","CITY OF ANGELES","15.1333959","120.5918647"
"209","DAGUPAN","Arellano St Dagupan City","","REGION I (ILOCOS REGION)","PANGASINAN","CITY OF DAGUPAN","16.0476152","120.3423307"
"210","SESSION 2","G/F B - 105 Lpez Bldg., Session Rd., Baguio City","","CORDILLERA ADMINISTRATIVE REGION (CAR)","BENGUET","CITY OF BAGUIO","16.4130119","120.5971155"
"211","OROSA","Ma. Orosa St. cor TM Kalaw","","NATIONAL CAPITAL REGION (NCR)","CITY OF MANILA","ERMITA","14.5817305","120.9815005"
"212","LEMERY","Ilustre ave. cor P.  Burgos St Lemery","(043) 4090135","REGION IV-A (CALABARZON)","BATANGAS","LEMERY","13.880664","120.9157599"
"213","PARKVIEW","Paseo Parkview Tower 142 Valero cor Sedeno St.","","NATIONAL CAPITAL REGION (NCR)","NCR, FOURTH DISTRICT","CITY OF MAKATI","14.5586023","121.0224974"
"214","SAN PABLO 2","Leonor St. cor Maharlika Highway,","","REGION IV-A (CALABARZON)","LAGUNA","CITY OF SAN PABLO","14.064387","121.3232286"
"215","CRAME","Boniserano Ave. cor 2nd Camp Crame","(63) 09989652033","NATIONAL CAPITAL REGION (NCR)","NCR, SECOND DISTRICT","QUEZON CITY","14.6104771","121.0527144"
"216","BACLARAN 2","Quirino ave., corner  Dimasalang st","","NATIONAL CAPITAL REGION (NCR)","NCR, FOURTH DISTRICT","CITY OF PARANAQUE","14.5304396","120.9969087"
"217","NOVA 3","Quirino Hway  cor. Sarmiento St.","(02) 9371246","NATIONAL CAPITAL REGION (NCR)","NCR, SECOND DISTRICT","QUEZON CITY","14.7193873","121.0397632"
"218","TAYTAY2","Manila East Road San Juan","(02) 2863085","REGION IV-A (CALABARZON)","RIZAL","TAYTAY","14.5591572","121.1360536"
"219","P. CAMPA","G/F Villaroman Bldg. P. Campa St. Cor. España Blvd.","","NATIONAL CAPITAL REGION (NCR)","CITY OF MANILA","SAMPALOC","14.6054809","120.9884293"
"220","Laguna Bel-Air","Sta Rosa Brgy Don Jose","(049) 8381152","REGION IV-A (CALABARZON)","LAGUNA","CITY OF SANTA ROSA","14.2638221","121.074336"
"221","BACLARAN 3","G/F C Side Bldg. Roxas Blvd cor Aguarra St","","NATIONAL CAPITAL REGION (NCR)","NCR, FOURTH DISTRICT","CITY OF PARANAQUE","14.5330766","120.9935004"
"222","CALAMBA 2","National Highway Halang","(049) 5457355","REGION IV-A (CALABARZON)","LAGUNA","CITY OF CALAMBA","14.1966441","121.1626135"
"224","LUISITA","Mc Arthur Hway Brgy Maligaya","","REGION III (CENTRAL LUZON)","TARLAC","CITY OF TARLAC (Capital)","15.4342888","120.5991595"
"226","LEGARDA","2108 Legarda Street,","","NATIONAL CAPITAL REGION (NCR)","CITY OF MANILA","QUIAPO","14.5990427","120.9905855"
"228","BOCAUE","Mc Arthur Hway Cor F. Halili Ave., Binan 2nd","","REGION III (CENTRAL LUZON)","BULACAN","BOCAUE","14.7976887","120.9291677"
"229","CITYLAND10","LG 07 Cityland 10 Tower Valero Cor Dela Costa St","","NATIONAL CAPITAL REGION (NCR)","NCR, FOURTH DISTRICT","CITY OF MAKATI","14.5607726","121.0174831"
"232","CBC","115 G/F Coporate Business Ctr Paseo de Roxas cor Pasay Rd.","","NATIONAL CAPITAL REGION (NCR)","NCR, FOURTH DISTRICT","CITY OF MAKATI","14.5511518","121.019024"
"234","LA HUERTA","Qurino Ave cor Dandan St.La Huerta","(02) 8200296","NATIONAL CAPITAL REGION (NCR)","NCR, FOURTH DISTRICT","CITY OF PARANAQUE","14.4996951","120.9913255"
"236","UP MANILA","Cuevas Tower Taft Avenue cor P. Gil","","NATIONAL CAPITAL REGION (NCR)","CITY OF MANILA","MALATE","14.5759293","120.9880843"
"237","ORIENT SQUARE","Orient Square Bldg. Ruby Road Ortigas Center","","NATIONAL CAPITAL REGION (NCR)","NCR, SECOND DISTRICT","CITY OF PASIG","14.5853216","121.0610312"
"241","ST. LUKES","E Rodrigues cor Victoria St New Mla","","NATIONAL CAPITAL REGION (NCR)","NCR, SECOND DISTRICT","QUEZON CITY","14.6215431","121.024001"
"243","MERVILLE","Moreland Bldg. Merville Acess rd cor West Service Rd.","(02) 7760483","NATIONAL CAPITAL REGION (NCR)","NCR, FOURTH DISTRICT","PASAY CITY","14.5086509","121.0333823"
"244","GUADA 3","F. Yabut Street nr cor P. Burgos","","NATIONAL CAPITAL REGION (NCR)","NCR, FOURTH DISTRICT","CITY OF MAKATI","14.564987","121.045941"
